"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
1,1,1667.8,2516.6,130.9,317.2,29.3,7.1,23.6
2,1,1687.5,3767.6,144.1,488.8,32.3,7.4,19.7
3,1,5101,1700.5,136.6,478.6,15.2,8.2,19.8
4,1,5398.7,1349.3,141.6,231.6,15.2,8.2,39
5,1,6384.9,4103.8,156.6,841.1,30.7,8.1,15.2
6,1,7074.8,9031.8,421.2,1169.9,17.8,7.3,55.6
7,1,9096.9,4843.1,193,187,29,6.4,65.5
8,1,9377.6,7881,167.6,197.2,29.5,6.7,50.8
9,1,9641.2,2014.5,144.4,477.5,14.3,8.6,22.2
10,1,10079.1,2322.5,94.5,93.6,14.3,8.6,47.7
11,1,12319.5,3633.4,126.9,166,31,7.4,40.5
12,1,13364.5,8612.6,103,129.3,33.3,7.1,35
13,1,13792,10550.3,342.3,864.4,27.7,7.7,52.3
14,1,16289.5,7605.4,227.7,355.4,27.1,6,46.8
15,1,17115.4,1877.1,149.2,176.1,25.8,6.2,43.4
16,1,19162.6,11943.1,146.9,221.7,32.1,7.2,39.1
17,1,19565,6017.5,113.5,130.4,35.7,9.4,50.7
18,1,19368.8,7729.7,337.5,500.1,22.6,8.6,93.5
19,1,21703.2,9768.2,243.2,307.8,24.9,5.5,55.9
20,1,25318.3,4935.2,189.9,258.6,27.3,6.5,48.2
21,1,25546.8,13624,209.7,367.3,27.2,7,44.5
22,1,32811,17136.8,163.9,338.4,28.9,6.3,29.3
23,2,1724.4,2381.9,161.2,369,29.6,8.4,32.4
24,2,1674.4,3762.3,140.8,551.6,33.2,8.9,19.4
25,2,5363.8,1383.1,83.9,135,17.9,9.2,30.1
26,2,5099.2,1656.1,156,400.1,17.9,9.2,30.7
27,2,5288.5,6290.7,161.3,230.9,30.5,8,47.9
28,2,6417.6,4056.4,142.2,899.3,31.6,9.4,13.7
29,2,7295.2,8965,184.6,184.8,29.5,6.8,64.4
30,2,9315.5,7942.9,155.7,297.9,30,8.7,38.1
31,2,9642,2007.9,144.1,494,32.7,7.9,20.3
32,2,12313.3,3785.5,107.4,190.5,31.2,6.9,26.3
33,2,13406,8525.7,146,188.8,28.2,7.6,46.5
34,2,14778.9,10581.2,136.6,427.2,35.7,9.7,24.4
35,2,19196.6,11943.1,125.6,215.4,30.5,7,30.3
36,2,19409,7645.2,205,253.3,27,7.3,62
37,2,20062.4,8448.9,92.5,92.4,32.2,7.4,41.4
38,2,20115.8,6381.6,181.9,174,31.8,7.4,71.3
39,2,21379.2,12570.9,183.1,196.4,27.1,6.4,57
40,2,21619.1,9942.6,130.8,162,28.5,7.8,45.1
41,2,22631,2510,247.4,321.4,29.5,7.2,68.2
42,2,25251.6,4886.6,151.3,282.1,27.6,6.9,32.2
43,2,29890.2,11613.5,173.7,374.6,27.5,6.6,30.4
44,2,32920.6,17190.1,156.4,285.4,30,8,37.5
45,3,1731.6,2368.3,130.6,315.8,31.7,7.3,24
46,3,1634.6,3723.6,179,538.1,29.6,8,26.8
47,3,5271.8,1478.5,185.2,403.7,31.6,7.4,34.4
48,3,6381.6,4040.6,141.1,861.4,31.3,8.5,13.2
49,3,7491.5,9051.6,157.7,250.2,30.3,7.3,39.9
50,3,8027.7,2884.6,90.7,93.9,29.1,5.4,31.6
51,3,9060.3,4943.4,63.1,73,31.2,7.3,29.5
52,3,9345.2,7944.7,132.7,185.1,30.8,7,37.8
53,3,9634.7,2004.2,122.2,375,35.9,8.7,21.1
54,3,10160.2,2236.1,264.6,387.2,27.3,6.6,60.7
55,3,12344.4,3879.4,118.8,206.4,29.3,7.9,31.5
56,3,16298.5,7605.6,193.5,353.4,26.7,8.6,47.1
57,3,19213,11966.4,138,296.3,30.3,7.9,29.2
58,3,19968.1,8326.6,142.6,279.9,33.3,8.2,33.3
59,3,21643.9,11755.4,185.4,223.4,27.2,6.9,55.4
60,3,23925,10063.1,87.8,87.1,28.5,7.2,39.4
61,3,24461.4,3231.9,139.3,202.9,16.6,7.6,40.1
62,3,24747.9,2841.9,459.9,1225,6.6,6.9,59.4
63,3,25231.8,4870.4,139.2,179.3,28.8,6,37.4
64,3,32900.3,17125.9,172.1,275.4,29.5,8.5,47.5
65,4,1539.8,2173.9,157.9,415.5,27.9,7.3,25.8
66,4,1741.7,3824,205.4,945.9,26,10.3,24.9
67,4,5230.5,1564.1,204.3,509.6,30.2,7.9,35
68,4,6271.3,3994.5,142,839.9,30.3,5.6,11.1
69,4,7496.8,8916.3,247.3,377.7,22.3,7.2,58.8
70,4,9186.8,4825.2,152.1,125.5,30.4,7.9,74.7
71,4,9329.2,7986.7,154.9,216.9,28.4,6.4,39.3
72,4,9626.5,2006.2,183.9,537.2,28.9,8.7,29.9
73,4,12295.7,3892.5,145.2,256.7,28.1,7.5,34.5
74,4,13485,8399.8,117.5,227.5,30.4,7,26.3
75,4,16297.1,7544,157.7,351,28.8,9,34.6
76,4,19050.5,8277.8,95,221.9,35,8.6,22.3
77,4,19199,11968.5,168,368.4,27,6.5,28.9
78,4,21116.2,3984.1,157.3,141.4,27.9,8,71.8
79,4,24399.6,3237.5,150.5,514.6,29.6,7.8,20.9
80,4,25289.3,4837.8,194.4,304,27.3,5.5,38.3
81,4,25795.3,13601.6,291.9,420.8,25.5,7.8,76.9
82,4,28280.1,11401,164.1,193.3,27.2,6.8,50.7
83,4,29933.2,11610,144.7,122.2,28.3,6.4,59.1
84,4,32702.5,17192.8,148.9,362.4,32.1,5.9,22.9
85,5,1381.8,2217.5,118.9,283.9,30.9,9.5,27.4
86,5,1645.5,3951.5,147,567.6,30,7.8,18.6
87,5,5341.8,1333.9,275.2,519.2,29.4,8.4,60.8
88,5,6392.1,4065.2,140.3,847.1,30.8,7.7,12.6
89,5,7467.9,8860.9,166.7,227.6,28.7,6.2,42
90,5,9187.4,4959.7,164.1,209.6,27.5,7,48.3
91,5,9374.2,8045.2,90.6,126.6,28.3,6,26.3
92,5,9641,1989.8,193.2,532.8,28.5,9.2,34.2
93,5,10222.3,2242.2,128.3,246.8,14.8,7,27.9
94,5,9724.9,1998,141.7,290.6,14.8,7,28.4
95,5,12282.7,3924.2,115.7,186.4,29.7,7.7,32.3
96,5,13397.8,8474,120.3,175.1,31.6,7.9,37.2
97,5,16261.2,7734.8,134.9,152.5,29.3,8.2,52.4
98,5,19195,11916.3,90.7,172.2,32.1,7.4,23.3
99,5,19288.6,7779.7,27.3,73,28.1,5.9,12.2
100,5,24436,3082.4,572,1225,15,8.7,110
101,5,25255.8,4945.7,187.7,263.1,28.4,8.2,56.2
102,5,28276.4,11427.6,82.7,96,29.5,7.1,32.6
103,5,30777.1,12260.6,158.1,157.1,29.4,7.2,59.8
104,5,36488.3,17478,85.5,100.5,27.8,5.9,29
105,6,1320.7,2214.8,127.5,317.7,31.9,8.2,24.9
106,6,1588.6,4010.6,144.7,632.1,33.2,8.3,17.2
107,6,5412.6,1342.7,149.2,381.6,34.2,8.1,27.2
108,6,6419.9,4047.3,129.2,691.2,32.2,7.4,12.8
109,6,7639.8,9024.6,141.7,159.3,29.2,7.3,49.5
110,6,8001.7,2884.4,131.6,147.9,32.7,6.7,44.1
111,6,9448.6,8000.8,184.2,301.9,28.8,6.6,40.3
112,6,9615,1965.3,151.6,431.6,29.5,7.8,24.3
113,6,10325.1,2264.4,113.6,201.3,32.3,8,30.2
114,6,10900.5,4960.5,119.9,123.5,31.5,7.6,48.9
115,6,12088.2,3870.7,243.8,305.2,26.8,7.4,72
116,6,13173.1,8489.6,96.4,152.7,29.5,7.6,28.9
117,6,19214,11965.6,158.4,257.9,28.5,6,33.6
118,6,19442.8,7879.1,102.1,125.6,28.9,6.3,32.6
119,6,25264.1,4869.1,249.5,459.1,25.7,6.5,46.4
120,6,32721.4,17067.9,196.7,434.5,29.6,7.9,37.7
121,7,1323.8,2196.8,121.4,167.3,29,9.2,44.5
122,7,1548.7,4006.5,140.5,623.7,30.4,7.6,15.9
123,7,5356.9,1371.2,120.6,253.5,37,8.8,29.2
124,7,6424.3,4043.1,134.6,769.3,33.8,7.7,12.8
125,7,7656.6,8923,137.3,135.8,28.8,6.4,49
126,7,7930.3,2852.1,29.2,85.4,30.6,7.2,12.5
127,7,9465.6,7943.5,130.6,164.5,31.3,8.1,45.9
128,7,9636.2,2013.8,151.1,444.9,31.1,7.5,23
129,7,9588.3,4944.3,119.7,113.5,28.9,7.5,52.4
130,7,10301.6,2128.5,193.8,564.1,26.7,8.7,31.3
131,7,12077.8,3896.7,123.2,171.4,30,6.8,34.9
132,7,13338.2,8440.3,154.9,178.1,31.4,6.7,49
133,7,16285.2,7543.7,124.3,289.7,29.3,8.3,26.1
134,7,19243.1,11981.4,177.2,390,26.1,7.7,34.1
135,7,21489.8,12668.5,56.4,78.4,28.4,6.6,22.5
136,7,25166.6,4909.7,383.3,1091.5,16.8,7.9,53.1
137,7,28249.2,11470.1,125.3,183.1,29.2,7.6,37.1
138,7,29942.8,11585.5,110,123.6,28.4,6.8,38.8
139,7,32780.4,17031.2,317.3,1018.4,17.4,8.3,42
140,8,1261.3,2153.1,112.9,171.1,29.9,7.5,32.8
141,8,1516.7,4147.4,136.7,280.2,31.2,6.4,26.2
142,8,5283.3,1474.1,307,544.6,29,7.9,67
143,8,6435.7,4059.4,145,698.3,32.3,7.9,15.5
144,8,7601,8874.9,174,277,26.6,6.9,41
145,8,9415.1,7928.6,166.5,270.9,30.2,7.7,42.2
146,8,9636.4,4901.5,11,118.3,14.5,5.5,6.5
147,8,9401.7,5064.7,17.4,73,14.5,5.5,9.9
148,8,9642.7,1971.6,146.6,430.1,15.5,8.4,24.4
149,8,10274.1,2075.8,304.2,1025.1,20.4,8.6,39.8
150,8,12254.7,3805.6,172.4,233.6,29.1,7.6,50.8
