"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]","jd","dt","id","seg_pos","track_pos","seg.D_msd","seg.D_msd_intercept","seg.D_msd_std_err","seg.D_msd_r","seg.mjd","seg.mjd_std_err","seg.mjd_n","seg.msd","seg.msd_std_err","seg.msd_n","seg.motion","seg.t_start","seg.lifetime","seg.id","seg.loc_count","seg.track_pos","track.noise","track.t_start","track.lifetime","track.id","track.loc_count","track.seg_count"
1,1,1667.8,2516.6,130.9,317.2,29.3,7.1,23.6,146.1083502,1,0,0,0,0.1624379046,-0.0006104843592,2.176024675e-007,0.9998773504,94.80609592,5.208496881,121,12243.6086,1356.609173,121,diffusion,1,121,10,122,0,0,1,121,10,122,1
2,1,1687.5,3767.6,144.1,488.8,32.3,7.4,19.7,14.13152504,1,1,0,0,0.2953861646,-0.01687399232,0.002016843414,0.9831020022,87.20943266,19.69669064,8,10321.2025,3696.849509,8,diffusion,1,8,11,9,0,0,1,8,11,9,1
3,1,5101,1700.5,136.6,478.6,15.2,8.2,19.8,44.43647151,1,2,0,0,0.0246825,0,0,0,44.43647151,0,1,1974.6,0,1,diffusion,1,1,7,2,0,0,1,1,7,2,1
4,1,5398.7,1349.3,141.6,231.6,15.2,8.2,39,48.58446254,1,3,0,0,0.1168045253,0.01114383029,0.000892503342,0.9020512751,111.8990936,15.26884293,16,16018.47063,4672.298864,16,diffusion,1,16,6,17,0,0,1,16,6,17,1
5,1,6384.9,4103.8,156.6,841.1,30.7,8.1,15.2,57.58515434,1,4,0,0,0.0002595825997,0.0008933747809,1.077609805e-008,0.4083303924,23.58510304,1.571715216,127,867.5134646,191.9397353,127,immobile,1,127,4,128,0,0,1,127,4,128,1
6,1,7074.8,9031.8,421.2,1169.9,17.8,7.3,55.6,230.300673,1,5,0,0,0.1197333605,0.01043332339,0.0002427643556,0.9755278557,117.6045235,18.78141541,14,18416.46429,5238.389878,14,diffusion,1,14,15,15,0,0,1,14,14,15,1
7,1,9096.9,4843.1,193,187,29,6.4,65.5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,none,1,0,1325,1,0,1,1,0,1266,1,1
8,1,9377.6,7881,167.6,197.2,29.5,6.7,50.8,87.68135492,1,7,0,0,0.1371175127,0.0005050452243,1.87348892e-005,0.9976417464,97.86197449,11.32973153,21,12144.22238,2876.789889,21,diffusion,1,21,9,22,0,0,1,21,9,22,1
9,1,9641.2,2014.5,144.4,477.5,14.3,8.6,22.2,6.648308055,1,8,0,0,-0.0006278179666,0.002627549217,2.388745952e-008,-0.5255063027,42.76469014,2.137331819,175,2623.683314,304.9684288,175,immobile,1,175,12,176,0,0,1,178,12,179,2
10,1,10079.1,2322.5,94.5,93.6,14.3,8.6,47.7,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,none,1,0,1324,1,0,1,1,0,1265,1,1
11,1,12319.5,3633.4,126.9,166,31,7.4,40.5,152.2263118,1,10,0,0,0.1347041241,0.007253115413,0.0001430144962,0.9902911571,110.29926,19.63296717,12,16405.91417,4419.86166,12,diffusion,1,12,8,13,0,0,1,12,8,13,1
12,1,13364.5,8612.6,103,129.3,33.3,7.1,35,96.30088265,1,11,0,0,0.11592325,0,0,0,96.30088265,0,1,9273.86,0,1,diffusion,1,1,14,2,0,0,1,1,13,2,1
13,1,13792,10550.3,342.3,864.4,27.7,7.7,52.3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,none,1,0,1323,1,0,1,1,0,1264,1,1
14,1,16289.5,7605.4,227.7,355.4,27.1,6,46.8,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,none,1,0,1322,1,0,1,1,0,1263,1,1
15,1,17115.4,1877.1,149.2,176.1,25.8,6.2,43.4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,none,1,0,1321,1,0,1,1,0,1262,1,1
16,1,19162.6,11943.1,146.9,221.7,32.1,7.2,39.1,34,1,15,0,0,0.001445922592,0.001893915459,2.45037671e-006,0.5044267094,39.57397587,5.492457089,12,1897.9375,462.3000845,12,immobile,1,12,5,13,0,0,1,12,5,13,1
17,1,19565,6017.5,113.5,130.4,35.7,9.4,50.7,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,none,1,0,1320,1,0,1,1,0,1261,1,1
18,1,19368.8,7729.7,337.5,500.1,22.6,8.6,93.5,93.57505009,1,17,0,0,0.109453625,0,0,0,93.57505009,0,1,8756.29,0,1,diffusion,1,1,3,2,0,0,1,1,3,2,1
19,1,21703.2,9768.2,243.2,307.8,24.9,5.5,55.9,193.61862,1,18,0,0,0.468602125,0,0,0,193.61862,0,1,37488.17,0,1,diffusion,1,1,2,2,0,0,1,1,2,2,1
20,1,25318.3,4935.2,189.9,258.6,27.3,6.5,48.2,82.52787408,1,19,0,0,0.007932632303,0.00453701309,2.086482892e-005,0.7567854623,70.02705869,7.805092489,11,5512.983636,1140.978811,11,immobile,1,11,1,12,0,0,1,11,1,12,1
21,1,25546.8,13624,209.7,367.3,27.2,7,44.5,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,none,1,0,1319,1,0,1,1,0,1260,1,1
22,1,32811,17136.8,163.9,338.4,28.9,6.3,29.3,121.8730897,1,21,0,0,-0.013341575,0.02403949,0.02197259242,-0.1771624585,132.671092,41.19541649,3,20995.74333,11688.33698,3,diffusion,1,3,0,4,0,0,1,3,0,4,1
23,2,1724.4,2381.9,161.2,369,29.6,8.4,32.4,15.38830725,1,22,1,0,0.1624379046,-0.0006104843592,2.176024675e-007,0.9998773504,94.80609592,5.208496881,121,12243.6086,1356.609173,121,diffusion,1,121,10,122,0,0,1,121,10,122,1
24,2,1674.4,3762.3,140.8,551.6,33.2,8.9,19.4,55.51333173,1,23,1,0,0.2953861646,-0.01687399232,0.002016843414,0.9831020022,87.20943266,19.69669064,8,10321.2025,3696.849509,8,diffusion,1,8,11,9,0,0,1,8,11,9,1
25,2,5363.8,1383.1,83.9,135,17.9,9.2,30.1,132.5336184,1,24,1,0,0.1168045253,0.01114383029,0.000892503342,0.9020512751,111.8990936,15.26884293,16,16018.47063,4672.298864,16,diffusion,1,16,6,17,0,0,1,16,6,17,1
26,2,5099.2,1656.1,156,400.1,17.9,9.2,30.7,0,0,25,1,0,0.0246825,0,0,0,44.43647151,0,1,1974.6,0,1,diffusion,1,1,7,2,0,0,1,1,7,2,1
27,2,5288.5,6290.7,161.3,230.9,30.5,8,47.9,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,none,2,0,1330,1,0,1,2,0,1271,1,1
28,2,6417.6,4056.4,142.2,899.3,31.6,9.4,13.7,39.31462832,1,27,1,0,0.0002595825997,0.0008933747809,1.077609805e-008,0.4083303924,23.58510304,1.571715216,127,867.5134646,191.9397353,127,immobile,1,127,4,128,0,0,1,127,4,128,1
29,2,7295.2,8965,184.6,184.8,29.5,6.8,64.4,214.5536064,1,28,1,0,0.1197333605,0.01043332339,0.0002427643556,0.9755278557,117.6045235,18.78141541,14,18416.46429,5238.389878,14,diffusion,1,14,15,15,0,0,1,14,14,15,1
30,2,9315.5,7942.9,155.7,297.9,30,8.7,38.1,29.75449546,1,29,1,0,0.1371175127,0.0005050452243,1.87348892e-005,0.9976417464,97.86197449,11.32973153,21,12144.22238,2876.789889,21,diffusion,1,21,9,22,0,0,1,21,9,22,1
31,2,9642,2007.9,144.1,494,32.7,7.9,20.3,8.184130986,1,30,1,0,-0.0006278179666,0.002627549217,2.388745952e-008,-0.5255063027,42.76469014,2.137331819,175,2623.683314,304.9684288,175,immobile,1,175,12,176,0,0,1,178,12,179,2
32,2,12313.3,3785.5,107.4,190.5,31.2,6.9,26.3,98.91622718,1,31,1,0,0.1347041241,0.007253115413,0.0001430144962,0.9902911571,110.29926,19.63296717,12,16405.91417,4419.86166,12,diffusion,1,12,8,13,0,0,1,12,8,13,1
33,2,13406,8525.7,146,188.8,28.2,7.6,46.5,0,0,32,1,0,0.11592325,0,0,0,96.30088265,0,1,9273.86,0,1,diffusion,1,1,14,2,0,0,1,1,13,2,1
34,2,14778.9,10581.2,136.6,427.2,35.7,9.7,24.4,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,none,2,0,1331,1,0,1,2,0,1272,1,1
35,2,19196.6,11943.1,125.6,215.4,30.5,7,30.3,28.49298159,1,34,1,0,0.001445922592,0.001893915459,2.45037671e-006,0.5044267094,39.57397587,5.492457089,12,1897.9375,462.3000845,12,immobile,1,12,5,13,0,0,1,12,5,13,1
