Calibration:
"X:", 1, "Y:", 1, "Units:", "", "Gray Units:", ""
"Image Name", "Area"
"230515_HeLa_HER2_+HBEGF_-CTX_CS5_cell_1.csv", 21347
"230515_HeLa_HER2_+HBEGF_-CTX_CS5_cell_10.csv", 16251
"230515_HeLa_HER2_+HBEGF_-CTX_CS5_cell_11.csv", 16206
"230515_HeLa_HER2_+HBEGF_-CTX_CS5_cell_12.csv", 32697
"230515_HeLa_HER2_+HBEGF_-CTX_CS5_cell_13.csv", 22393
"230515_HeLa_HER2_+HBEGF_-CTX_CS5_cell_14.csv", 20700
"230515_HeLa_HER2_+HBEGF_-CTX_CS5_cell_15.csv", 11053
"230515_HeLa_HER2_+HBEGF_-CTX_CS5_cell_16.csv", 28361
"230515_HeLa_HER2_+HBEGF_-CTX_CS5_cell_17.csv", 32137
"230515_HeLa_HER2_+HBEGF_-CTX_CS5_cell_18.csv", 26729
"230515_HeLa_HER2_+HBEGF_-CTX_CS5_cell_19.csv", 18381
"230515_HeLa_HER2_+HBEGF_-CTX_CS5_cell_2.csv", 16699
"230515_HeLa_HER2_+HBEGF_-CTX_CS5_cell_20.csv", 17886
"230515_HeLa_HER2_+HBEGF_-CTX_CS5_cell_21.csv", 13386
"230515_HeLa_HER2_+HBEGF_-CTX_CS5_cell_22.csv", 13198
"230515_HeLa_HER2_+HBEGF_-CTX_CS5_cell_23.csv", 16647
"230515_HeLa_HER2_+HBEGF_-CTX_CS5_cell_24.csv", 25390
"230515_HeLa_HER2_+HBEGF_-CTX_CS5_cell_3.csv", 26478
"230515_HeLa_HER2_+HBEGF_-CTX_CS5_cell_4.csv", 16594
"230515_HeLa_HER2_+HBEGF_-CTX_CS5_cell_5.csv", 31548
"230515_HeLa_HER2_+HBEGF_-CTX_CS5_cell_6.csv", 27053
"230515_HeLa_HER2_+HBEGF_-CTX_CS5_cell_7.csv", 21359
"230515_HeLa_HER2_+HBEGF_-CTX_CS5_cell_8.csv", 13988
"230515_HeLa_HER2_+HBEGF_-CTX_CS5_cell_9.csv", 20499
